question,targets,base_model
"What was the nationality of the singer and co-writer of ""Mr. Pitiful""?",1,1
One of John Candy's most renouwned onscreen performances was as Dell Griffith in an American comedy film from what year?,0,1
What do Freedomland U.S.A. and Baychester both have in common?,0,1
"Which is a perennial plant, Chelidonium or Duranta?",0,1
Are The Cure and Headstones from the same country?,0,1
Where is H. Frank Carey Junior-Senior High School?,1,1
What nationality is the author of the book Dark Slayer ?,1,1
What star of 68 Kill was born 6 March 1997?,1,1
" Who was a judge on the Sky1 talent show ""Got to Dance"", and is currently a judge on the British talent show, ""Dance Dance Dance""? ",1,1
What music subgenre that is influenced a lot by sounds from Texas and Oklahoma does Jason Eady represent?,0,1
Scarlet O'Hara won an Academy Award for Gone with the Wind because of her performance in a film based on a book by what author?,0,1
"Matthew Perry's co-star in the film ""Almost Heroes"" appeared in what NBC comedy show?",0,1
Where is the company that released Biricodar baseD?,0,1
Which chalet-style building was demolished when construction began on the seventh Disney Vacation Club resort?,0,1
How many episodes are in the 2014 American documentary about a band who's frontman is Dave Grohl?,1,1
The 2003 Austrian Grand Prix was the last Austrian Grand Prix to be held until it returned in 2014 to a motorsport circuit located where?,0,1
What actor who starred in the film Steptoe and Son Rides Again also played Paul McCartney's grandfather?,0,1
"Which hotel on the Las Vegas Strip in Paradise, Nevada, US did Beldon Katleman invest in that closed on July 16, 2007?",1,1
"Anthony Jung currently plays for Brondby on loan from what German association football club that is based in Leipzig, Saxony?",1,1
What profession does Thornton Wilder and Richard Llewellyn have in common?,0,1
"What singer replaced Diana Ross as the lead singer of The Supremes in January of 1970 and provided the lead vocals on the song ""You Gotta Have Love in Your Heart"" by the Supremes and the Four Tops?",1,1
"The Stranger (Italian: ""Lo straniero"" ) is a 1967 film by Italian film director Luchino Visconti, based on which 1942 novel, by French author Albert Camus?",0,1
"Elmer Lincoln Irey (1888 – July 19, 1948) was a United States Treasury Department official and director of the Internal Revenue Service's lead investigative unit during the federal tax evasion prosecution of Chicago mobster Al Capone, Alphonse Gabriel Capone ( ; ] ; January 17, 1899 – January 25, 1947), sometimes known by the nickname Scarface, was an American mobster, crime boss and businessman who attained fame during the Prohibition era as the co-founder and boss, of which organization?",0,1
The 2005 Major League Baseball season included a suspension for which retired Cuban American left fielder for steroid use?,0,1
The first recording of the Mahler Symphony No. 8 was conducted by which Jewish-Polish-Irish bandleader?,1,1
Who wrote and directed the 2002 horror film Hunting Humans which was found among the possessions of murderer Adam Leroy Lane?,0,1
"In which city was this rock band that released the song ""Sunday Morning"" formed in 1964?",0,1
Who is the boyfriend of the animated female duck voiced by Clarence Nash?,1,1
Which retired British sprint and hurdling track and field athlete appeared on Bigheads?,0,1
The son of the The Marvel Comics Character created by Stan Lee and John Romita Sr in 1967 is what kind of character?,1,1
Are University of Minnesota and Baylor College of Medicine located in the same state?,0,1
Which occupation did Gareth Evans and Michael Winner have in common?,1,1
"Between the Lime and the Exochorda, which can be expected to have more variety between individual plants?",1,1
"What was the name of the entomologist and grandson of the Scottish-born scientist, inventor, engineer, and innovator who is credited with patenting the first practical telephone?",1,1
Which band For Against or Aaroh was formed first ?,1,1
"Who wrote the lyrics of Portofino with a collaborator on ""Fiddler on the Roof""",0,1
"Which is a higher level city, Yuxi or Lufeng, Guangdong?",0,1
Who inspired Megan Hart and wrote the novel The Stand?,1,1
When did the magazine Wallace Hester work for run?,1,1
The Kwahu East District with the capital of Abetifi is in which country?,0,1
"Luis Gianneo was teacher to what composer who died February 18, 2010?",0,1
The elachista canapennella moth is found in this region which name comes from the latin words for Finland and Scandinavian.,1,1
This catlike alien space pirate is arch enemies to Space Ghost. What is his name?,0,1
Margarita Lozano acted in which movie directed by Claude Berri ?,1,1
What player won the NBA All-Star Game MVP in 1985 and defeated the Los Angeles Lakers in the 1986 NBA Playoffs?,1,1
In which country will you find the county-level city Gaozhou and the Jiangdu District which was formerly a county-level city?,1,1
"Which singer also produced records, Eugene Hütz or Alex Chilton?",1,1
What country in the Maghreb region of North Africa has the First Statement Stadium?,0,1
Seinsheim is known for its connection to the family that is extinct save for which Czech family?,0,1
"Paul Auster and Jodi Picoult, have which occupation in common?",1,1
Are Marie Fredriksson and Bada both vocalists?,1,1
"When did the pawn shop, that Richard Benjamin Harrison owns, open?",0,1
Live While We're Young is by the English-Irish boy band from what city?,1,1
"Scrabble and Sentinels of the Multiverse, is which form of entertainment?",0,1
"Vic & Anthony's Steakhouse is located at what property that is owned by Landry's, Inc.?",1,1
Are Jesus Jones and The 77s both rock bands?,1,1
"Sarabande and Danse is a ballet made by Jacques d'Amboise to which song, by who?",1,1
"Which Walt Disney production was based on Jules Verne's 1868 novel ""Captain Grant's Children,"" The Misadventures of Merlin Jones or In Search of the Castaways?",0,1
Are Viva and Ainslee's Magazine both periodicals?,1,1
"""Uncanny X-Men"" #94, is a comic book starring the X-Men that was published by Marvel Comics in August 1975, with this issue, the magazine was revived, and all of the original X-Men quit, and are replaced by such ""All-New, All-Different"" X-Men as Nightcrawler (Kurt Wagner), a fictional superhero appearing in American comic books published by which company?",0,1
"What year was Spar, the Dutch multinational retail chain served by Connoisseur's Bakery founded?",0,1
The scholar who analyzed the Ben Sira scroll added portions to a book of the Bible  written by the author on the inspiration of who?,0,1
Tibbers Castle is to the southeast of a country house in what parts of Scotland?,0,1
"The 1990 European Cup Final was a football match between Milan of Italy and Benfica of Portugal, played on which dater, The winning goal came in the 68th minute for Milan when Alessandro Costacurta passed the ball to Marco van Basten, who slotted it to Frank Rijkaard, who ran through the defense and scored, Franklin Edmundo ""Frank"" Rijkaard, is a Dutch former footballer and former manager who played as a midfielder or defender?",0,1
Who is the president of Marvel Films and whose productions has a worldwide box office gross of $10 billion?,1,1
Girls Trip starred which actress who had a regular role on the Oprah Winfrey Network?,1,1
Are Manuel Orantes and Anna-Lena Grönefeld both tennis players?,1,1
The 2013 Indiana Hoosiers football team were lead by which current offensive coordinator at Ohio State?,1,1
Who is Victor Li Tzar-kuoi brother and a Hong Kong philanthropist?,0,1
Happily was co-written by the One Direction band member who got is debut as a singer for what band?,1,1
What was the nationality of the man who inspired the experimental work of the inventor of Moseley's law,0,1
Which former Death Row Records co-owner featured Tha Dogg Pound on his 1992 album The Chronic three years before they released their own debut album in 1995?,0,1
The National Actors Theatre was founded by a man of what nationality?,1,1
"What former professional Australian rules footballer who played for the Adelaide Football Club in the Australian Football League (AFL), replaced coach Neil Craig after round 18 of their 21st season?",1,1
"What year was Dražen Dalipagić enshrined into a museum in Springfield, Massachusetts",0,1
"Which act did the band Twenty Twenty support who began her career starring in the children's television series ""Barney & Friends""?",0,1
"The second season of ""The Office"" was an adaptation of which other network's series?",0,1
"in the 1975–76, Seattle SuperSonics lost to a team based in which US state ?",1,1
Where did the olympic wrestler who defeated Elmadi Zhabrailov later go on to coach wrestling at?,1,1
What date did Bagsecg die?,1,1
"Miracle is a song by Julian Perretta, that was a collaboration with what Belgian DJ and record producer that is best known for ""Are you with me"" and ""Reality""?",0,1
Storm Large tours with a Portland-based band formed in what year?,1,1
the 1989 Eurovision Song Contest took place in a city situated on the shores of which lake ?,0,1
What company owns both Mountain Dew and Tropicana Products?,0,1
Turn Coat is the 11th book in a series from which the first novel was published in which year ?,1,1
What was the population as of the 2010 census of the city where Elston Hall is located?,1,1
"The band Paramore released the song ""Playing God"" on which album released through Fueled by Ramen?",1,1
The quarterback for the 2003 Tennessee Titans also played for what other NFL team?,1,1
What do Alessandro Scarlatti and Nikolai Rimsky-Korsakov have in common?,0,1
From what famous soliloquy is the title What Dreams May Come derived from?,1,1
What television show is the American comedian and actress that starred in a 2016 supernatural comedy film directed by Paul Feig known for?,1,1
Horse Creek begins in which North American mountain range?,1,1
"Who has performed with more band, Trey Anastasio or Sarah Nixey?",0,1
Raimond Aumann was nicknamed after a character in from a fictional book written by who?,0,1
 Peter Schattschneider is a cientist who has specialized knowledge in the exploration of the interactions of matter and energy across what?,1,1
What event kind of event named after a retired professional basketball player and rapper did Gary Owen perform at?,0,1
"Robert Sikoryak creates comic adaptations of literature classics like Waiting for Godot mixed with Beavis and Butt-Head becoming ""Waiting for Go"" under which series title?",1,1
"For which movie did this American singer and actress of stage, film and television who appeared in ""Raising Genius"" (2004) and ""The Music Man"" (1962) win an Academy Award for Best Supporting Actress?",0,1
The youngest child of Mangue Cisse plays for what Swiss club?,1,1
What 1945-born actor starred in Tulips?,0,1
"Debuting in the 2004 American teen musical comedy film Confessions of a Teenage Drama Queen, Megan Fox went on to co-star in what 2007 blockbuster action film?",0,1
" The garden city movement is a method of urban planning in which self-contained communities are surrounded by ""greenbelts"", containing proportionate areas of residences, industry, and agriculture, the idea was initiated in 1898 by Sir Ebenezer Howard, (29 January 1850 – 1 May 1928), the English founder of the garden city movement, is known for his publication, in which year?",1,1
What is the name of the sixth studio album by American rapper Future which contains the song titled Selfish?,0,1
"The star of the film that includes the song ""Man on the Edge"" on its soundtrack was born in what year?",1,1
By how many days per decade has the melt season lengthened in the shallowest of the world's major oceans?,0,1
"Which film did Cliff Potts, and the actor who was nominated for the Academy Award for Best Supporting Actor for ""Coming Home"", both appear in? ",1,1
What is the name of the 40th president who was in office when the Job Partnership Act of 1982 was passed?,1,1
What position does Bob Diaco hold with the football team hat has the most wins and the highest winning percentage of any program over the last 50 years?,0,1
"The 2005 Florida Atlantic University Owls football team represented Florida Atlantic University in the 2005 NCAA Division I-A football season, the team was coached by Howard Leslie Schnellenberger, an retired football coach, of which nationality, with long service at both the professional and college levels?",1,1
What was the name of the downtown sports stadium that the Minnesota Twins played in beginning in 1982?,0,1
"""They Saved Lisa's Brain"" is the twenty-second episode of ""The Simpsons""' tenth season, when which recurring character from the animated television series ""The Simpsons"", and is voiced by Dan Castellaneta?",1,1
Are Puyang and Pu'er City located in the same country?,1,1
"""Yakety Sax"" composer Boots Randolph was part of what musical style group during most of his professional career?",1,1
"What is the title of the eighth studio album of the alternative rock/metal band who released the single ""Through the Iris"" in 2006?",0,1
What scandal did the director of Syrianna direct a movie about in 2016?,1,1
When did the leader of the Confederate Army of Tennessee during Hood's Tennessee Campaign die?,1,1
"Caroline Cruice Goodall, is an English actress and screenwriter, her other film appearances include which 2015 Australian revenge comedy-drama film written and directed by Jocelyn Moorhouse, based on the novel of the same name by Rosalie Ham?",0,1
Which person cited by Pele as the greatest defender he had ever played was part of a British television series first broadcasting on 13 January 2017?,0,1
"Which magazine has a higher circulation, Y'all or Motor Trend?",1,1
"Who was born earlier, Roger Taylor or Elizabeth Fraser?",0,1
Who directed the British-American black comedy-drama film produced by Ray Stark?,0,1
Are both  Adolfo Bioy Casares and Iris Rainer Dart authors?,1,1
What airline headquarted in Immeuble La Rotonde in Douala took over Cameroon Airlines Corporation in March 2008?,1,1
Do Jean-Jacques Beineix and John Ince have the same nationality ?,1,1
"How long is this historic east–west, large-wheeled wagon route and emigrant trail in the United States on whch Barlow Pass is on?",1,1
Place Bonaventure is adjacent to a rail station that is used by how many passengers?,0,1
"Which university was founded earlier, Lehigh University or University of Iowa?",1,1
Daniel Z. Freedman was born in a city that as of 2010 had a population of what?,1,1
Who is the bridge named for that spans the Narrows?,1,1
"Osho Times was a monthly magazine in the Hindi and English language on themes related to which spiritual teacher, that spent time in Mumbai initiating followers, and based on his talks?",0,1
Are Monoral and Versus both rock bands?,1,1
Are both Die Macher and Quoridor German board games?,0,1
What disease does Minkowski Prize and Oskar Minkowski have in common?,0,1
What was the name of the Australian bred Thoroughbred racehorse who won Australia's most prestigious annual Thoroughbred horse race in 1950?,1,1
"What did the king of England, Scotland and Ireland create in 1652?",0,1
"Joseph Morgan is best known for his roll in what CW show that eventually spun off into ""The Originals""?",0,1
"Pieter 'Piet' Klijnveld, was a Dutch accountant who started a practice that after several mergers would grow into which professional service company and one of the Big Four auditors, along with Deloitte, Ernst & Young (EY), and PricewaterhouseCoopers (PwC)?",1,1
"Between the Lapageria and Satureja genus, which is the national flower of Chile?",0,1
What project did the namesake of 2752 Wu Chien-Shiung work on?,0,1
The last champion of the FFB Open was an English professional snooker player from where?,0,1
What animated car character was voiced by Paul Newman?,1,1
"Cache is a city in Comanche County, Oklahoma, it is the location of Star House, the home of the Comanche chief Quanah Parker, was a Comanche war leader of the Quahadi (""Antelope"") band of which people?",0,1
Are musicians Paul Cotton and Cedric Bixler-Zavala both members of a band?,1,1
What team did Boom Boom captain in 2016?,0,1
"Rishabh Shukla, is an Indian film and television actor and a voice-dubbing artist, who speaks Hindi as his mother tongue language, as a Hindi dubbing actor he is most known as the voice of which fictional character and the main antagonist, in J. K. Rowling's series of ""Harry Potter"" novels?",0,1
Where is the American rapper born in 1973 that featured in a guest appearance in The People vs. from?,1,1
Which genus is more spread around the world Maytenus or Eucommia ?,0,1
"South East Queensland (SEQ) is a bio-geographical, political, and administrative region of the state of Queensland in Australia, the area covered by South East Queensland varies, depending on the definition of the region, though it tends to include Queensland's three largest cities, including which coastal area in the Australian state of Queensland, approximately 66 km south-southeast of the state capital Brisbane and immediately north of the border with New South Wales?",1,1
In what city is the complex uses a corporate organization in which its supply chain is totally owned by the company located?,0,1
What generic medication is a non-selective betablocker used to treat congestive heart failure?  ,0,1
What Swiss agribusiness is a client of Martin Williams Advertising?,1,1
"When was the  Mexican-American singer, songwriter, rapper, actress and model born who was the vocal for  ""Oath""?",1,1
Which studio released the most recently released between The Shaggy Dog and Frozen 2?,0,1
"Are Huai'an and Qian'an, Hebei both Chinese cities?",0,1
Does Lüliang or Fuxin have a larger population?,0,1
what does The Freedom Force and Isis have in common?,1,1
"When did the football coach, who led the 2004 Oklahoma Sooners team,  announce his retirement?",1,1
The birth city of Irakli Nasidze lies on the banks of what river?,1,1
"Roark Capital Group is named after what character in the novel ""The Fountainhead"" who was considered to be the ideal man by the author?",1,1
What is the nationality of this professional footballer who was sold to Chelsea during the 2004–05 Olympique de Marseille season?,1,1
Are Shiba Inu and Leonberger both large dog breeds?,1,1
Tom Lee was defeated for Chief Financial Officer of Florida in 2006 by a politician who lost by what margin in the 2010 Florida gubernatorial election?,1,1
"Metal band Crown the Empire, whose first album was called Limitless, are from which Texas city?",1,1
Which city is the third most populated city in Pennsylvania and was apart of the film the Florentine? ,0,1
"The John Coltrane Home is a house in the Dix Hills neighborhood of Huntington, Dix Hills, New York Dix Hills is a hamlet and census-designated place (CDP) on Long Island in the town of Huntington in Suffolk County, in which country?",0,1
which English actor was a supporting cast in Tristan & Isolde,0,1
"Who was a member of more comedy troupes, Doug Langway or Terry Jones?",1,1
What time period were people who inspired the Lyoness company trademark originally from?,0,1
"The Waputik Mountains are a mountain range of the Canadian Rockies, named  in 1884 by George M. Dawson, ""waputik"" is the Stoney Indian word for which white large hoofed mammal endemic to North America?",1,1
"What other professional created characters for ""The Mooninites"" besides the co-creator of ""Aqua Teen Hunger Force""?",0,1
is best known for a 2006 British drama film which story centers on young skinheads in England in what year?,1,1
"What is is a Japanese collectible card game that embody's the art of applying design and aesthetics to create a game for entertainment or for educational, exercise, or experimental purposes and was published by Konami  ?",1,1
"The Naga Chili, closely related to the Bhut jolokia, also known as ghost pepper, ghost chili, U-morok, red naga, naga jolokia and ghost jolokia, is an interspecific hybrid chili pepper cultivated in the Indian states of Arunachal Pradesh, Assam, Nagaland and Manipur, and is closely related to the Naga morich, of which country?",1,1
"Night Monster is a 1942 American black-and-white horror film featuring Bela Lugosi, he was a Hungarian-American actor, famous for portraying Count Dracula in the film from which year? ",0,1
Fences is a 1985 play by an American playwright who died in what year?,0,1
Who is the second youngest cricket captain to play in the 2016 Indian Premier League?,1,1
The colony Michel Sarrazin immigrated at age 25 to ended with the cession to Great Britain and Spain in what year?,1,1
What to Autograph Collector Magazine and Linux Journal have in common?,1,1
What American actor and director starred in a 2002 American drama film directed by Gus Van Sant?,1,1
"The actor that playe Atticus Finch in the 1962 film ""To Kill a Mockingbird"" co-starred with Virginia Mayo and Robert Beatty in a 1951 film directed by who?",1,1
What star of Common appears in Game of Thrones?,0,1
Eric Musselman was an assistant coach for Orlando Magic Under doc rivers and what head coach that led United States men's Olympic basketball team  to the gold medal at the 1992 Summer Olympics.,1,1
In which state did John Flammang Schrank from New York attempt to assassinate Republican president Theodore Roosevelt in October 1912?,1,1
Where is the public research university which Ottey spent several years coaching in located in ,0,1
"The Magician's House is a quartet of children's fantasy books by who, the series featured Jennifer Jane Saunders (born 6 July 1958) is an English comedian, screenwriter, and actress?",1,1
Harper's Mansion is located in a village that is located along what highway? ,0,1
"When was the American painter and inventor died who after who's name Morse town named in southern Saskatchewan, Canada?",1,1
"The American attorney, law professor and former member of the Texas House of Representatives who was portrayed by the actress known for ""Love Child"" (1982), ""Places in the Heart"" (1984), ""Field of Dreams"" (1989) and etc., is best known for which U. S. Supreme Court case?",1,1
Who produced the movie in which Amr Waked played Pierre Del Rio?,1,1
"Who was born first, Béla Bartók or Dmitri Shostakovich?",0,1
What was the town that holds the Garth School originally named?,1,1
Kevin Bookout played college basketball that plays in which conference ?,0,1
"Which actor, who describes himself as an ...""Everyman,"" wrote the film Above Suspicion? ",1,1
"Violent Restitution is the fifth full-length album from the Canadian speed/thrash metal band Razor released in 1988, the album is dedicated to the late Charles Bronson, was an American actor, died on which date?",0,1
Do the magazines Femina and Take a Break have a similar readership?,0,1
In what year was the Korean student scholarship established by South Korean business magnate and the chairman of Samsung Group?,0,1
"The Alliance Theatre staged its first production, a semi-opera with how many acts, at the Alliance in 1968?",0,1
Creedence Gold was a compilation album that was of what nationality?,0,1
"Which American record label released the single, ""Coffee Shop?""",1,1
"Le Chatelier's principle is sometimes named after what German inventor, physicist and Nobel laureate in physics? ",0,1
Are Robin White and Kevin Ullyett both former professional tennis players?,1,1
Were Lee Ji-hye and Shim Eun-jin in the same band?,1,1
"The Sarah Jane Adventures is a British science fiction television programme, that was produced by BBC Cymru Wales for CBBC, created by which Welsh screenwriter and television producer whose works include ""Queer as Folk""?",1,1
Which origin of werewolf legends was portrayed by Bela Lugosi?,0,1
What is the name of the international exchange program established by this Democrat whom  Charles T. Bernard famously ran against in the Senate race as Republican nominee in 1968?,1,1
Is the Staffordshire Bull Terrier bigger than the Miniature American Shepherd?,1,1
Gabriel Gustafson was in charge of the excavation of what well preserved Viking ship?,0,1
Who succeeded 27th Chief of Army Staff Bipin Rawat in the Indian Army to be responsible for operation and army related tasks?,0,1
What is the capital of the only triply landlocked U.S. state wherein one can find Maianthemum canadense?,1,1
What purposes does Adailiya's public works park likely serve?,1,1
" In what year did the author who wrote ""The 19th Wife"" release his novel that was adapted into a Academy Award winning film starring Eddie Redmayne?",0,1
What Kind of comapany headquartered in Saint-Denis comprises the technological and commercial institutions of filmmaking?,1,1
One of the natives of Reggiolo was last manager of what German football club?,0,1
" Beverley Knight MBE is an English recording artist heavily influenced by an American singer, songwriter, and what?",1,1
Were both Alexander Hall and Jon Amiel both considered film directors?,1,1
"The Vengeance of Rome (2006) is a novel by Michael Moorcock, in this novel, Colonel Pyat, an incarnation of the Eternal Champion, goes to Italy and Germany, where he becomes involved in Fascism and Naziism, including sexual encounters with which German military officer and an early member of the Nazi Party?",1,1
"What county music artist first gained national attention as a winner on ""You Can Be a Star"" and wen on to provide background vocals in 199 on the 1992 release of the song ""Take It Like a Man""?",1,1
Stephanie Sigman was an actress in the 2015 film produced by which company?,1,1
Are Pylon and Team Sleep experimental bands?,1,1
The Princess and the Frog starred a man who is best known for playing who? ,0,1
"Matt Doheny ran in the Republican primary for New York's 21st congressional district, a congressional district for the United States House of Representatives that is currently represented by who?",0,1
Mary Soames' mother was born on what date?,1,1
What character  did a cast member of the Apocalypse series play on The A-Team?,1,1
"The Fault in Our Stars had a starring role by which actress and activist from San Bernadino County, California?",1,1
"What is the stage name of the singer who is starring in ""The Underdog"" alongside Park So-dam and Park Chul-min?",1,1
What river is the location of the 68th World Science Fiction Convention next to?,0,1
What is the alternate translation for the honorary title of which Vladimir Basov and Inna Churikova were both recipients?,1,1
Which company released the movie series starring Adam Herz and David H. Steinberg?,0,1
What former Federal Bureau of Investigation agent is the film Breach based on?,1,1
What was the 2016 population of the county where the National Maritime College of Ireland is located?,0,1
Who was a professor of theology at the University of Leiden as well as a student of Theodore Beza?,1,1
The Kid in a candy store series follows the host of which other show?,0,1
"This song that was released on August 30, 2009, was the fourth single off of the album for what singer who co-produced that album with Nathan Chapman?",1,1
"Edwin Forrest's feud with William Charles Macready was the cause of what event that occurred on May 10, 1849, in Manhattan?",1,1
Mike Connors and Leon Danielian were both entertainers of what nationality?,0,1
"What were the 2012 sales of the company for which Hubert Joly was a former president, CEO, and director?",0,1
"Which Paul McCartney song did Del Davis sing on ""Mellow Dubmarine.""",0,1
In what state was the university Darryl Carlton played for?,0,1
Were both Memotech MTX and TEC-1 single-board kit computers?,0,1
Trax Colton appeared in two films as a contract player for an American film studio located just west of where?,0,1
how far away is the headquarters of PrivatAir from the city center?,1,1
"What is the name of the person who was born on May 5, 1972 who is featured in Chocolate City: Vegas Strip?",0,1
Who has a cameo appearance in the film in which both Bo Kimble and a member of the New York Shakespeare Festival who has performed in many Broadway plays star in?,1,1
From which team did the Denver Nuggets receive via trade the player who had been drafted fifth overall in the 2005 NBA draft?,1,1
Vincent Cirelli is a special effects supervisor for what 2012 sci-fi film directed by Ridley Scott?,1,1
"Merimbula Merimbula is a town on the Merimbula Lake, located on which location, that refers to the narrow coastal belt from Sydney in the north to the border with Victoria in the south in the south-eastern part of the State of New South Wales, Australia?",1,1
"Who is the American actor who starred as as Jim Dial in A Picture is Worth 1,000 Bucks ?",0,1
Who is the voice of the protagonist feral child in the sequel to the movie adaptation of some of Rudyard Kipling's stories?,0,1
Who did the 47th Governor appoint as a justice of the Supreme Court of Texas?,1,1
Vala is a character that is mentioned in the world created by what English author?,0,1
"Which magazine was published first, Who Put the Bomp or Curve?",0,1
"David I. Arkin is the father of an American actor, director, screenwriter, musician, and singer, who performed in Popi and Catch-22, and who was born when?",0,1
What year did Emmy Rossum star in a film about a musicologist researching and collecting Appalachian folk music in the mountains of western North Carolina?,0,1
"What was founded in 1939 and first published in April 1939 in the United States, it was originally called ""Glamour of Hollywood"", El Nuevo Cojo or Glamour ?",0,1
Which genus of flowering plant has more species Bulbophyllum or Bismarckia?,0,1
The 2005 Houston Texans fired the only person to serve how many different NFL expansion teams as inaugural head coach?,0,1
Which prominent speaker was featured in the State of the Black Union annual event and is  the American Representative for 13th congressional district?,1,1
"The Yellow Birds is a 2017 American war film directed by Alexandre Moors and based on the novel ""The Yellow Birds"" by Kevin Powers, the film stars which American actor, that made his feature film debut in Francis Ford Coppola's independent film ""Tetro"" (2009)? ",0,1
What was the 1905 oligarchic dominance of Argentina known as?,1,1
"The Darjeeling Limited is an American adventure comedy-drama film, released in which year, directed by Wes Anderson, the film stars include Bill Murray in a cameo role?",0,1
"The World War II hero whom the USS Elrod was named after, graduated from what two Universities?",0,1
"In 1981 the European School, Munich moved to its current location in a borough that was built starting in what year?",1,1
Where did the head coach of the 2016-17 Houston Cougars men's basketball team first work as a head coach?,0,1
"The man that hosted the 2012 and 2016 Primetime Emmy Awards started, with the help of two others, what American production company?",1,1
WMCW is a radio station that carried an Adult Contemporary format with a man who retired when? ,0,1
"Which director has won an Oscar, Ron Shelton or Ken Mora?",1,1
"Roy Hilton played in Super Bowl V against the Cowboys, what was his position?",0,1
In what year did the historical film drama based on the true story of Charles Horman win The Palme d'Or?,0,1
"Which opera has more acts, The Bassarids or Don Quichotte?",0,1
how much of South Dakota is west of the longest river in North America?,1,1
"Which lasted longer, Korean War or Battle of Mindanao? ",1,1
"In which English town did Adam Chance Angus Rayner appear on stage in ""Romeo and Juliet""?",1,1
"What actor born in 1934 starred in Me, Myself and I?",0,1
What was the position of the player who's final match was the final of the 2003-04 Scottish Cup,0,1
"Monsters, Inc. Laugh Floor replaced which 1992 film shown at three Disney parks?",0,1
Which film did Michael Keaton star in that had the song Scandalous! on its soundtrack?,0,1
"""Scott v. Emerson"" was part of of a case in which year ?",1,1
What team selected the 2009 Pac-10 Offensive Player of the Year in the second round of the 2010 NFL Draft?,1,1
"What is the birth date of the author whose short stories inspired the film ""Certain Women?""",0,1
"Emory University and Syracuse University, are located in which country?",1,1
"KXI75 is an older NOAA Weather Radio station that serves parts of the north Georgia mountains with 300 watts on 162.475 MHz from a location near Blue Ridge, Georgia, it is now simulcast on newer station KXI22 located atop the highest point in the U.S. state of Georgia, near Young Harris is called?",1,1
What was the cause of the death of this American professional wrestling manager who was married to Randy Savage?,0,1
The white supremacist who wrote about serial killer Joseph Paul Franklin founded what major white nationalist organization?,1,1
"In what New York county is a building in the shape of a duck, built by farmer Martin Maurer, located?",1,1
"William Lyon served at this air force base in Houston County, Georgia.",1,1
"Decommissioning in Northern Ireland was a process in the Belfast Agreement as part of the Northern Ireland peace process, the Northern Ireland peace process is often considered to cover the events leading up to which year, Provisional Irish Republican Army (IRA) ceasefire, the end of most of the violence of the Troubles, the Good Friday (or Belfast) Agreement of 1998, and subsequent political developments?",0,1
"Which actor who appeared in Cooter also provides a voice in the animated series ""Wander Over Yonder?""",0,1
Who was the host of the Australian television quiz show for which Taylor Auerbach was the youngest winner?,1,1
"What award winning game designer and New York Times best selling author, designed ""En Garde!""?",0,1
The classic presenter of the paradox of value is a philosopher that died in this year?,1,1
What was the population of the terminus of the Willunga railway line in 2011,0,1
"In American football the air raid offense refers to an offensive scheme popularized by such coaches as which American college football coach, the head coach of the Washington State Cougars football team?  ",1,1
Lou Ferrigno appeared in what 2009 American romantic comedy film that was directed by John Hamburg?,1,1
What year was the crossing that the Daily Mail Trans-Atlantic Air Race is commemorating?,0,1
Celebrity Cooking Showdown was hosted by a Canadian actor who was best known for his role as Jason Seaver on what television series?,1,1
"Who was born first, Mikhail Kravchuk or Israel Gelfand?",1,1
"Which genus is aquatic, Phylica or Nelumbo?",0,1
What role in their respective bands do Stephen Christian and Jonathan Davis share?,1,1
How ling is the bridge to the main airport in Hong Kong?,0,1
On what island is the country in which Malcolm Allen was born?,1,1
Stefano Nava was a backup for which former right-back who now is the assistant coach for the Ukrainian national team?,0,1
A Simple Plan was a thriller novel that led to a film starring whom?,1,1
Which movie came out first Snow Dogs or Sacred Planet ?,1,1
What is a similarity between the Cairn Terrier and the German Hound?,0,1
"Which tennis player is older, Billy Martin or Pavel Složil?",1,1
"Jo Lynn ""Jody"" Allen is the sister of which American business magnate, investor and philanthropist?",1,1
Which actress is married to John Travolta and starred in a 1994 film about a pregnant woman who is stranded at a trading post during the American Civil War?,0,1
Were the films Victory Through Air Power and Encounters at the End of the World released in the same year?,0,1
The President of Egypt was know to call the Egyptian revolution of 1952 by what other name?,0,1
"Air Vice Marshal Christopher James ""Chris"" Luckwas Commandant of a college that was established as the worlds first what? ",0,1
What town did the 2013 Maine Black Bears football team play their home games in?,0,1
Rocky Roe officiated in the World Series played by which American League team?,1,1
"When the Macanese general election took place, was the legislature elected on national level?",1,1
"What is the name of the engagement on the northern coast of France on 19 August 1942 in which the HMS ""Calpe"" participated?",0,1
What American composer born in 1895 was married to his frequent collaborator Verna Arvey?,1,1
"What is Trolls (2016 the  computer animated musical comedy by South Korean animator, Yong Duk Jhun about?",0,1
"The Sagittarius Dwarf Spheroidal Galaxy, a loop-shaped galaxy of the Milky Way, is which type of the three main classes of galaxy originally described by Edwin Hubble in ""The Realm of the Nebulae?""",1,1
Are Janus and The Lady both published in the US?,1,1
"Who wrote the book Power in Earth detailing the connections between the Gambino crime family, the Vatican Bank and the Franklin National Bank?",0,1
What Miami Vice actor starred in Revenge of the Stepford Wives?,0,1
"Which BAFTA, BIFA and Golden Globe Award winning actress starred in the 2011 British drama film, Tyrannosaur?",1,1
What is the height of the tower that resembles the Business Central Towers in Dubai?,1,1
