Question,Answer
What is the outlook for Leigh's Disease ?,"The prognosis for individuals with Leigh's disease is poor. Individuals who lack mitochondrial complex IV activity and those with pyruvate dehydrogenase deficiency tend to have the worst prognosis and die within a few years. Those with partial deficiencies have a better prognosis, and may live to be 6 or 7 years of age. Some have survived to their mid-teenage years."
what research (or clinical trials) is being done for Leigh's Disease ?,"The NINDS supports and encourages a broad range of basic and clinical research on neurogenetic disorders such as Leigh's disease. The goal of this research is to understand what causes these disorders and then to apply these findings to new ways to diagnose, treat, and prevent them."
What are the treatments for Kuru ?,"There were no treatments that could control or cure kuru, other than discouraging the practice of cannibalism. Currently, there are no cures or treatments for any of the other TSE diseases."
what research (or clinical trials) is being done for Kuru ?,"The NINDS funds research to better understand the genetic, molecular, and cellular mechanisms that underlie the TSE diseases. Findings from this research will lead to ways to diagnose, treat, prevent, and ultimately cure these diseases."
what research (or clinical trials) is being done for Neurodegeneration with Brain Iron Accumulation ?,"The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge about the brain and nervous system, and to use that knowledge to reduce the burden of neurological disease. NINDS-funded researchers are developing a mouse model of an NBIA disorder to gain insight into the causes of the disease and accelerate ongoing efforts to identify therapeutics to treat it.."
what research (or clinical trials) is being done for Pompe Disease ?,"The National Institute of Neurological Disorders and Stroke (NINDS) supports Pompe research through grants to major research institutions across the country. Research related to Pompe disease is conducted in one of the laboratories of the National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS) at the National Institutes of Health. Much of Pompe-related research focuses on finding better ways to prevent, treat, and ultimately cure this disorder."
What are the treatments for Dysgraphia ?,Treatment for dysgraphia varies and may include treatment for motor disorders to help control writing movements. Other treatments may address impaired memory or other neurological problems. Some physicians recommend that individuals with dysgraphia use computers to avoid the problems of handwriting.
What is the outlook for Dysgraphia ?,"Some individuals with dysgraphia improve their writing ability, but for others, the disorder persists."
what research (or clinical trials) is being done for Dysgraphia ?,"The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) support dysgraphia research through grants to major medical institutions across the country. Much of this research focuses on finding better ways to treat, and ultimately, prevent dysgraphia."
What is the outlook for Orthostatic Hypotension ?,The prognosis for individuals with orthostatic hypotension depends on the underlying cause of the condition.
what research (or clinical trials) is being done for Orthostatic Hypotension ?,The NINDS supports research on conditions such as neurogenic orthostatic hypotension aimed at increasing scientific understanding of the condition and finding ways to treat and prevent it.
What is the outlook for Huntington's Disease ?,"Huntingtons disease causes disability that gets worse over time. People with this disease usually die within 15 to 20 years following diagnosis. At this time, no treatment is available to slow, stop or reverse the course of HD."
What are the treatments for Transmissible Spongiform Encephalopathies ?,TSEs tend to progress rapidly and usually culminate in death over the course of a few months to a few years.
What is the outlook for Transmissible Spongiform Encephalopathies ?,There is currently no treatment that can halt progression of any of the TSEs. Treatment is aimed at alleviating symptoms and making the patient as comfortable as possible. A clinical trial of a potential therapy for CJD is expected to begin soon at the University of California at San Francisco.
what research (or clinical trials) is being done for Transmissible Spongiform Encephalopathies ?,"The NINDS conducts and supports research on TSEs. This research is aimed at determining how abnormal prion proteins lead to disease, at finding better tests for diagnosing CJD and other disorders, and ultimately at finding ways to treat TSEs."
What is the outlook for Neurosarcoidosis ?,"The prognosis for patients with neurosarcoidosis varies. Approximately two-thirds of those with the condition will recover completely; the remainder will have a chronically progressing or on-and-off course of illness. Complications resulting from immunosuppressive treatments, such as cryptococcal and tuberculous meningitis, progressive multifocal leukoencephalopathy, and inclusion body myositis, may be fatal for a small percentage of individuals."
What are the treatments for Mitochondrial Myopathy ?,"Although there is no specific treatment for any of the mitochondrial myopathies, physical therapy may extend the range of movement of muscles and improve dexterity. Vitamin therapies such as riboflavin, coenzyme Q, and carnitine (a specialized amino acid) may provide subjective improvement in fatigue and energy levels in some patients."
What is the outlook for Mitochondrial Myopathy ?,"The prognosis for patients with mitochondrial myopathies varies greatly, depending largely on the type of disease and the degree of involvement of various organs. These disorders cause progressive weakness and can lead to death."
what research (or clinical trials) is being done for Mitochondrial Myopathy ?,"The NINDS conducts and supports research on mitochondrial myopathies. The goals of this research are to increase scientific understanding of these disorders and to find ways to effectively treat, prevent, or potentially cure them."
what research (or clinical trials) is being done for Lissencephaly ?,"The NINDS conducts and supports a wide range of studies that explore the complex systems of normal brain development, including neuronal migration. Recent studies have identified genes that are responsible for lissencephaly. The knowledge gained from these studies provides the foundation for developing treatments and preventive measures for neuronal migration disorders."
What are the treatments for Multiple System Atrophy with Orthostatic Hypotension ?,"There is no cure for multiple system atrophy with orthostatic hypotension. Treatment is aimed at controlling symptoms. Anti-Parkinson medication such as Sinemet may improve the general sense of well-being. Medications to elevate blood pressure while standing are often used, but may cause high blood pressure when lying down. Individuals should sleep with the head of the bed elevated. An artificial feeding tube or breathing tube may be required for problems with swallowing and breathing."
What is the outlook for Multiple System Atrophy with Orthostatic Hypotension ?,Most individuals with multiple system atrophy with orthostatic hypotension die within 7 to 10 years after the onset of symptoms. A problem with the respiratory system is the most common cause of death.
what research (or clinical trials) is being done for Multiple System Atrophy with Orthostatic Hypotension ?,"The NINDS supports research on disorders of the autonomic nervous system, including multiple system atrophy with orthostatic hypotension. This research is aimed at developing techniques to diagnose, treat, and prevent these disorders. Currently there are ongoing treatment trials of drugs to treat MSA."
what research (or clinical trials) is being done for Transient Ischemic Attack ?,NINDS is the leading supporter of research on stroke and TIA in the U.S. and sponsors studies ranging from clinical trials to investigations of basic biological mechanisms as well as studies with animals.
What are the treatments for Porencephaly ?,"Treatment may include physical therapy, medication for seizures, and the placement of a shunt in the brain to remove excess fluid in the brain."
What is the outlook for Porencephaly ?,"The prognosis for children with porencephaly varies according to the location and extent of the cysts or cavities. Some children with this disorder develop only minor neurological problems and have normal intelligence, while others may be severely disabled and die before their second decade of life."
What is the outlook for Machado-Joseph Disease ?,"The severity of the disease is related to the age of onset, with earlier onset associated with more severe forms of the disease. Symptoms can begin any time between early adolescence and about 70 years of age. MJD is a progressive disease, meaning that symptoms get worse with time. Life expectancy ranges from the mid-thirties for those with severe forms of MJD to a normal life expectancy for those with mild forms. The cause of death for those who die early is often aspiration pneumonia."
what research (or clinical trials) is being done for Sleep Apnea ?,"The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) conduct research related to sleep apnea in laboratories at the NIH, and also support additional research through grants to major medical institutions across the country. Much of this research focuses on finding better ways to prevent, treat, and ultimately cure sleep disorders, such as sleep apnea."
What is the outlook for Central Pontine Myelinolysis ?,"The prognosis for myelinolysis varies. Some individuals die and others recover completely. Although the disorder was originally considered to have a mortality rate of 50 percent or more, improved imaging techniques and early diagnosis have led to a better prognosis for many people. Most individuals improve gradually, but still continue to have challenges with speech, walking, emotional ups and downs, and forgetfulness."
What is the outlook for Von Hippel-Lindau Disease (VHL) ?,"The prognosis for individuals with VHL depends on then number, location, and complications of the tumors. Untreated, VHL may result in blindness and/or permanent brain damage. With early detection and treatment the prognosis is significantly improved. Death is usually caused by complications of brain tumors or kidney cancer."
What are the treatments for Neuroaxonal dystrophy ?,"There is no cure for INAD and no treatment that can stop the progress of the disease. Treatment is symptomatic and supportive. Doctors can prescribe medications for pain relief and sedation. Physiotherapists and other physical therapists can teach parents and caregivers how to position and seat their child, and to exercise arms and legs to maintain comfort."
What are the treatments for Chiari Malformation ?,"Medications may ease certain symptoms, such as pain. Surgery is the only treatment available to correct functional disturbances or halt the progression of damage to the central nervous system. More than one surgery may be needed to treat the condition. Some CMs have no noticeable symptoms and do not interfere with the person's activities of daily living."
What is the outlook for Chiari Malformation ?,"Many people with Type I CM are asymptomatic and do not know they have the condition. Many individuals with the more severe types of CM and have surgery see a reduction in their symptoms and/or prolonged periods of relative stability, although paralysis is generally permanent."
What are the treatments for Neurotoxicity ?,"Treatment involves eliminating or reducing exposure to the toxic substance, followed by symptomatic and supportive therapy."
What is the outlook for Neurotoxicity ?,"The prognosis depends upon the length and degree of exposure and the severity of neurological injury. In some instances, exposure to neurotoxicants can be fatal. In others, patients may survive but not fully recover. In other situations, many individuals recover completely after treatment."
What are the treatments for Congenital Myasthenia ?,"The possibilities for treatment depend on the specific subtype of congenital myasthenia. Most treatments attempt to improve the signaling between nerve cell and muscle. These drugs include pyridostigmine, fluoxetine, ephedrine, and 3,4-diaminopyridine. Treatments to alter the immune system are not used for this form of myasthenia. There are no treatments to cure the underlying genetic abnormality."
What is the outlook for Congenital Myasthenia ?,"The prognosis depends on the specific subtype of congenital myasthenia, the muscles involved, and the age at onset of symptoms. If a child has difficulty breathing, feeding, or swallowing, they may be vulnerable to pneumonia or respiratory failure. In other cases, weakness is stable and does not worsen over time. In one subtype, weakness improves with time. Life-span is normal in most cases in which respiratory function is not compromised."
what research (or clinical trials) is being done for Congenital Myasthenia ?,"The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) support research related to congenital myasthenia through grants to major research institutions across the country. Much of this research focuses on finding better ways to prevent, treat and ultimately cure disorders such as congenital myasthenia."
What is the outlook for Attention Deficit-Hyperactivity Disorder ?,"There is no ""cure"" for ADHD. Children with the disorder seldom outgrow it; however, some may find adaptive ways to accommodate the ADHD as they mature."
what research (or clinical trials) is being done for Attention Deficit-Hyperactivity Disorder ?,"Several components of the NIH support research on developmental disorders such as ADHD. Research programs of the NINDS, the National Institute of Mental Health (NIMH), and the National Institute of Child Health and Human Development (NICHD) seek to address unanswered questions about the causes of ADHD, as well as to improve diagnosis and treatment."
What is the outlook for Essential Tremor ?,"Although essential tremor is not life-threatening, it can make it harder to perform daily tasks and is embarrassing to some people. Tremor frequency may decrease as the person ages, but the severity may increase, affecting the person's ability to perform certain tasks or activities of daily living. In many people the tremor may be mild throughout life."
What are the treatments for Zellweger Syndrome ?,"There is no cure for Zellweger syndrome, nor is there a standard course of treatment. Since the metabolic and neurological abnormalities that cause the symptoms of Zellweger syndrome are caused during fetal development, treatments to correct these abnormalities after birth are limited. Most treatments are symptomatic and supportive."
What is the outlook for Zellweger Syndrome ?,"The prognosis for infants with Zellweger syndrome is poor. Most infants do not survive past the first 6 months, and usually succumb to respiratory distress, gastrointestinal bleeding, or liver failure."
what research (or clinical trials) is being done for Zellweger Syndrome ?,"The National Institute of Neurological Disorders and Stroke (NINDS), and other institutes of the National Institutes of Health (NIH), conduct research exploring the molecular and genetic basis of Zellweger syndrome and the other PBDs, and also support additional research through grants to major research institutions across the country. Much of this research focuses on finding better ways to prevent, treat, and ultimately cure disorders such as Zellweger syndrome."
What are the treatments for Coma ?,"Once an individual is out of immediate danger, the medical care team focuses on preventing infections and maintaining a healthy physical state. This will often include preventing pneumonia and bedsores and providing balanced nutrition. Physical therapy may also be used to prevent contractures (permanent muscular contractions) and deformities of the bones, joints, and muscles that would limit recovery for those who emerge from coma."
what research (or clinical trials) is being done for Coma ?,The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) conduct research related to coma in their laboratories at the NIH and also support additional research through grants to major medical institutions across the country. Much of this research focuses on finding better ways to prevent and treat coma.
What are the treatments for Acute Disseminated Encephalomyelitis ?,"Treatment for ADEM is targeted at suppressing inflammation in the brain using anti-inflammatory drugs. Most individuals respond to several days of intravenous corticosteroids such as methylprednisolone, followed by oral corticosteroid treatment. When corticosteroids fail to work, plasmapheresis or intravenous immunoglobulin therapy are possible secondary treatment options that are reported to help in some severe cases. Additional treatment is symptomatic and supportive."
what research (or clinical trials) is being done for Acute Disseminated Encephalomyelitis ?,"The National Institute of Neurological Disorders and Stroke (NINDS) and other institutes of the National Institutes of Health (NIH) conduct research related to ADEM in laboratories at the NIH, and also support additional research through grants to major medical institutions across the country. Much of this research focuses on finding better ways to prevent, treat, and ultimately cure demyelinating disorders such as ADEM."
What are the treatments for Myotonia ?,"Treatment for myotonia may include mexiletine, quinine, phenytoin, and other anticonvulsant drugs. Physical therapy and other rehabilitative measures may help muscle function."
What is the outlook for Myotonia ?,Myotonia is a chronic disorder. Symptoms may improve later in life.
what research (or clinical trials) is being done for Myotonia ?,"The National Institute of Neurological Disorders and Stroke supports and conducts an extensive research program on neuromuscular disorders. The goals of this research are to learn more about these disorders and to find ways to treat, prevent, and cure them."
What are the treatments for Creutzfeldt-Jakob Disease ?,"There is no treatment that can cure or control CJD, although studies of a variety of drugs are now in progress. Current treatment is aimed at alleviating symptoms and making the person as comfortable as possible. Opiate drugs can help relieve pain, and the drugs clonazepam and sodium valproate may help relieve involuntary muscle jerks.Intravenous fluids and artificial feeding may be needed in later stages of the disease."
What is the outlook for Creutzfeldt-Jakob Disease ?,"About 70 percent of individuals die within one year. In the early stages of disease, people may have failing memory, behavioral changes, lack of coordination and visual disturbances. As the illness progresses, mental deterioration becomes pronounced and involuntary movements, blindness, weakness of extremities, and coma may occur."
What are the treatments for Chorea ?,"There is no standard course of treatment for chorea. Treatment depends on the type of chorea and the associated disease. Treatment for Huntington's disease is supportive, while treatment for Syndenham's chorea usually involves antibiotic drugs to treat the infection, followed by drug therapy to prevent recurrence. Adjusting medication dosages can treat drug-induced chorea. Metabolic and endocrine-related choreas are treated according to the cause(s) of symptoms."
What is the outlook for Chorea ?,"The prognosis for individuals with chorea varies depending on the type of chorea and the associated disease. Huntington's disease is a progressive, and ultimately, fatal disease. Syndenham's chorea is treatable and curable."
what research (or clinical trials) is being done for Chorea ?,The NINDS supports research on movement disorders such as chorea. The goals of this research are to increase understanding of these disorders and to find ways to prevent and treat them.
What are the treatments for Ohtahara Syndrome ?,"Antiepileptic drugs are used to control seizures, but are unfortunately not usually very effective for this disorder. Corticosteroids are occasionally helpful. In cases where there is a focal brain lesion (damage contained to one area of the brain) surgery may be beneficial. Other therapies are symptomatic and supportive."
What is the outlook for Ohtahara Syndrome ?,"The course of Ohtahara syndrome is severely progressive. Seizures become more frequent, accompanied by delays in physical and cognitive development.Some children will die in infancy; others will survive but be profoundly handicapped. As they grow, some children will progress into other epileptic disorders such as West syndrome and Lennox-Gestaut syndrome."
what research (or clinical trials) is being done for Ohtahara Syndrome ?,"The NINDS conducts and supports an extensive research program on seizures and seizure-related disorders. Much of this research is aimed at increasing scientific understanding of these disorders and finding ways to prevent, treat, and potentially cure them."
What is the outlook for Postural Tachycardia Syndrome ?,"POTS may follow a relapsing-remitting course, in which symptoms come and go, for years. In most cases (approximately 80 percent), an individual with POTS improves to some degree and becomes functional, although some residual symptoms are common."
what research (or clinical trials) is being done for Rasmussen's Encephalitis ?,"The National Institute of Neurological Disorders and Stroke (NINDS) conducts research related to Rasmussens encephalitis in its laboratories at the National Institutes of Health (NIH), and also supports additional research through grants to major research institutions across the country. Much of this research focuses on finding better ways to prevent, treat, and ultimately cure progressive neurological disorders, such as Rasmussens encephalitis."
What are the treatments for Sydenham Chorea ?,"There is no specific treatment for SD. For people with the mildest form, bed rest during the period of active movements is sufficient. When the severity of movements interferes with rest, sedative drugs, such as barbiturates or benzodiazepines, may be needed. Antiepileptic medications, such as valproic acid, are often prescribed. Doctors also recommend that children who have had SD take penicillin over the course of the next 10 years to prevent additional manifestations of rheumatic fever."
What are the treatments for Fahr's Syndrome ?,"There is no cure for Fahr's Syndrome, nor is there a standard course of treatment. Treatment addresses symptoms on an individual basis."
What is the outlook for Fahr's Syndrome ?,"The prognosis for any individual with Fahr's Syndrome is variable and hard to predict. There is no reliable correlation between age, extent of calcium deposits in the brain, and neurological deficit. Since the appearance of calcification is age-dependent, a CT scan could be negative in a gene carrier who is younger than the age of 55."
what research (or clinical trials) is being done for Fahr's Syndrome ?,The NINDS supports and conducts research on neurogenetic disorders such as Fahr's Syndrome. The goals of this research are to locate and understand the actions of the genes involved in this disorder. Finding these genes could lead to effective ways to treat and prevent Fahr's Syndrome.
What is (are) Lactose Intolerance ?,Lactose is a sugar found in milk and milk products. The small intestinethe organ where most food digestion and nutrient absorption take placeproduces an enzyme called lactase. Lactase breaks down lactose into two simpler forms of sugar: glucose and galactose. The body then absorbs these simpler sugars into the bloodstream.
What are the symptoms of Lactose Intolerance ?,"Common symptoms of lactose intolerance include - abdominal bloating, a feeling of fullness or swelling in the abdomen - abdominal pain - diarrhea - gas - nausea Symptoms occur 30 minutes to 2 hours after consuming milk or milk products. Symptoms range from mild to severe based on the amount of lactose the person ate or drank and the amount a person can tolerate."
Who is at risk for What I need to know about Crohn's Disease? ?,"Both men and women can get Crohn's disease, and it can run in families. People with Crohns disease may have a blood relative with the disease or another type of IBD. Crohns disease most commonly starts between the ages of 13 and 30."
What are the symptoms of What I need to know about Crohn's Disease ?,"Crohn's disease symptoms can be different for each person. The most common symptoms of Crohns disease are - abdominal painoften in the lower right area of the abdomen - diarrhea - bleeding in the rectum, which can be seen in a persons underwear, in the toilet, or in a bowel movement; rectal bleeding can be serious and may not stop without medical help - weight loss - fever"
Who is at risk for Smoking and the Digestive System? ?,"Smoking has been found to increase the risk of cancers of the3 - mouth - esophagus - stomach - pancreas 3 , 4 , 5 - liver - colon - rectum More information about the link between smoking and cancers of the digestive system can be found on the National Cancer Institute website at www.cancer.gov/cancertopics/tobacco/smoking."
What is (are) Smoking and the Digestive System ?,"Smoking contributes to many common disorders of the digestive system, such as heartburn and gastroesophageal reflux disease (GERD), peptic ulcers, and some liver diseases. Smoking increases the risk of Crohns disease, colon polyps, and pancreatitis, and it may increase the risk of gallstones."
What to do for Smoking and the Digestive System ?,"Eating, diet, and nutrition can play a role in causing, preventing, and treating some of the diseases and disorders of the digestive system that are affected by smoking, including heartburn and GERD, liver diseases, Crohns disease, colon polyps, pancreatitis, and gallstones. More information about eating, diet, and nutrition and these conditions can be found on the Digestive Diseases A-Z list."
What are the symptoms of Hypoglycemia ?,"Hypoglycemia causes symptoms such as - hunger - shakiness - nervousness - sweating - dizziness or light-headedness - sleepiness - confusion - difficulty speaking - anxiety - weakness Hypoglycemia can also happen during sleep. Some signs of hypoglycemia during sleep include - crying out or having nightmares - finding pajamas or sheets damp from perspiration - feeling tired, irritable, or confused after waking up"
What are the symptoms of Hypoglycemia ?,"Hypoglycemia causes symptoms such as - hunger - shakiness - nervousness - sweating - dizziness or light-headedness - sleepiness - confusion - difficulty speaking - anxiety - weakness Hypoglycemia can also happen during sleep. Some signs of hypoglycemia during sleep include - crying out or having nightmares - finding pajamas or sheets damp from perspiration - feeling tired, irritable, or confused after waking up"
Who is at risk for Kidney Stones in Adults? ?,"Anyone can get a kidney stone, but some people are more likely to get one. Men are affected more often than women, and kidney stones are more common in non-Hispanic white people than in non-Hispanic black people and Mexican Americans. Overweight and obese people are more likely to get a kidney stone than people of normal weight. In the United States, 8.8 percent of the population, or one in 11 people, have had a kidney stone.2"
What are the symptoms of Kidney Stones in Adults ?,"People with kidney stones may have pain while urinating, see blood in the urine, or feel a sharp pain in the back or lower abdomen. The pain may last for a short or long time. People may experience nausea and vomiting with the pain. However, people who have small stones that pass easily through the urinary tract may not have symptoms at all."
What to do for Kidney Stones in Adults ?,#NAME?
What is (are) Anemia in Chronic Kidney Disease ?,"Anemia is a condition in which the body has fewer red blood cells than normal. Red blood cells carry oxygen to tissues and organs throughout the body and enable them to use energy from food. With anemia, red blood cells carry less oxygen to tissues and organsparticularly the heart and brainand those tissues and organs may not function as well as they should."
What are the symptoms of Anemia in Chronic Kidney Disease ?,"The signs and symptoms of anemia in someone with CKD may include - weakness - fatigue, or feeling tired - headaches - problems with concentration - paleness - dizziness - difficulty breathing or shortness of breath - chest pain Anyone having difficulty breathing or with shortness of breath should seek immediate medical care. Anyone who has chest pain should call 911."
What are the complications of Anemia in Chronic Kidney Disease ?,"Heart problems are a complication of anemia and may include - an irregular heartbeat or an unusually fast heartbeat, especially when exercising. - the harmful enlargement of muscles in the heart. - heart failure, which does not mean the heart suddenly stops working. Instead, heart failure is a long-lasting condition in which the heart cant pump enough blood to meet the bodys needs."
What is (are) Lupus Nephritis ?,"Lupus nephritis is kidney inflammation caused by systemic lupus erythematosus (SLE or lupus). SLE is an autoimmune diseasea disorder in which the bodys immune system attacks the bodys own cells and organs. Up to 60 percent of people with SLE are diagnosed with lupus nephritis, which can lead to significant illness and even death.1"
What is (are) Lupus Nephritis ?,"The kidneys are two bean-shaped organs, each about the size of a fist. They are located just below the rib cage, one on each side of the spine. Every day, the two kidneys filter about 120 to 150 of blood to produce about 1 to 2 quarts of urine, composed of wastes and extra fluid. The urine flows from the kidneys to the bladder through tubes called ureters. The bladder stores urine until releasing it through urination."
What are the symptoms of Lupus Nephritis ?,"The symptoms of lupus nephritis may include high blood pressure, foamy urine, and edemaswelling, usually in the legs, feet, or ankles and less often in the hands or face. Kidney problems often develop at the same time or shortly after lupus symptoms appear and can include - joint pain or swelling - muscle pain - fever with no known cause - red rashes, often on the face, which are also called butterfly rashes because of their shape"
What causes Goodpasture Syndrome ?,"The causes of Goodpasture syndrome are not fully understood. People who smoke or use hair dyes appear to be at increased risk for this condition. Exposure to hydrocarbon fumes, metallic dust, and certain drugs, such as cocaine, may also raise a persons risk. Genetics may also play a part, as a small number of cases have been reported in more than one family member."
What are the symptoms of Goodpasture Syndrome ?,"The symptoms of Goodpasture syndrome may initially include fatigue, nausea, vomiting, and weakness. The lungs are usually affected before or at the same time as the kidneys, and symptoms can include shortness of breath and coughing, sometimes with blood. The progression from initial symptoms to the lungs being affected may be very rapid. Symptoms that occur when the kidneys are affected include blood in the urine or foamy urine, swelling in the legs, and high blood pressure."
What to do for Goodpasture Syndrome ?,"Eating, diet, and nutrition have not been shown to play a role in causing or preventing Goodpasture syndrome."
How to diagnose What I need to know about Interstitial Cystitis/Painful Bladder Syndrome ?,"Finding the cause of bladder pain may require several tests. While tests may aid your doctor in making a diagnosis of IC/PBS, a careful review of your symptoms and a physical exam in the office are generally the most important parts of the evaluation."
What to do for What I need to know about Interstitial Cystitis/Painful Bladder Syndrome ?,#NAME?
What is (are) Hematuria (Blood in the Urine) ?,"Hematuria is blood in the urine. Two types of blood in the urine exist. Blood that can be seen in the urine is called gross hematuria. Blood that cannot be seen in the urine, except when examined with a microscope, is called microscopic hematuria."
What are the symptoms of Hematuria (Blood in the Urine) ?,"Most people with microscopic hematuria do not have symptoms. People with gross hematuria have urine that is pink, red, or cola-colored due to the presence of red blood cells (RBCs). Even a small amount of blood in the urine can cause urine to change color. In most cases, people with gross hematuria do not have other symptoms. However, people with gross hematuria that includes blood clots in the urine may have pain."
Who is at risk for Hematuria (Blood in the Urine)? ?,"Almost anyone, including children and teens, can have hematuria. Factors that increase the chance a person will have hematuria include - a family history of kidney disease - an enlarged prostate, which typically occurs in men age 50 or older - urinary stone disease - certain medications including aspirin and other pain relievers, blood thinners, and antibiotics - strenuous exercise such as long-distance running - a recent bacterial or viral infection"
What are the treatments for Hematuria (Blood in the Urine) ?,"Hematuria is treated by treating its underlying cause. If no serious condition is causing hematuria, no treatment is needed. Hematuria caused by a UTI is treated with antibiotics; urinalysis should be repeated 6 weeks after antibiotic treatment ends to be sure the infection has resolved."
What to do for Hematuria (Blood in the Urine) ?,"Eating, diet, and nutrition have not been shown to play a role in causing or preventing hematuria."
What is (are) What I need to know about Erectile Dysfunction ?,"Erectile dysfunction* is when you cannot get or keep an erection firm enough to have sex. You may have ED if you - can get an erection sometimes, though not every time - can get an erection, yet it does not last long enough for sex - are unable to get an erection at all ED is sometimes called impotence; however, doctors use this term less often now. *See the Pronunciation Guide for tips on how to say the words in bold type."
Who is at risk for What I need to know about Erectile Dysfunction? ?,"Erectile dysfunction affects men of all races and in all parts of the world. Men are more likely to have ED as they get older. For example, ED occurs in - about 12 percent of men younger than 60 - 22 percent of men age 60 to 69 - 30 percent of men age 70 or older"
What to do for What I need to know about Erectile Dysfunction ?,"To prevent ED, you should eat a healthy diet of whole-grain foods, fruits and vegetables, low-fat dairy foods, and lean meats. A diet that causes you to be overweight and have heart and blood vessel disease can also lead to ED. You should avoid foods high in fat and sodium, the main part of salt. You should also avoid smoking, drinking too much alcohol, or using illegal drugs."
What to do for What I need to know about Erectile Dysfunction ?,#NAME?
How many people are affected by Celiac Disease ?,"As many as one in 141 Americans has celiac disease, although most remain undiagnosed.2 Celiac disease affects children and adults in all parts of the world and is more common in Caucasians and females. Celiac disease is also more common among people with certain genetic diseases, including Down syndrome and Turner syndromea condition that affects girls' development."
What are the symptoms of Prevent diabetes problems: Keep your nervous system healthy ?,"Nerve damage symptoms depend on which nerves have damage. Some people have no symptoms or mild symptoms. Other people have painful and long-lasting symptoms. As most nerve damage develops over many years, a person may not notice mild cases for a long time. In some people, the onset of pain may be sudden and severe."
What to do for Prevent diabetes problems: Keep your nervous system healthy ?,"You can keep your nervous system healthy by taking these steps: - Eat healthy meals and follow the meal plan that you and your doctor or dietitian have worked out. - If you drink alcoholic beverages, limit your intake to no more than one drink per day for women and two drinks per day for men. Drinking too many alcoholic beverages can make nerve damage worse. More information is provided in the NIDDK health topic, What I need to know about Eating and Diabetes."
What are the symptoms of Hemochromatosis ?,"A person with hemochromatosis may notice one or more of the following symptoms: - joint pain - fatigue, or feeling tired - unexplained weight loss - abnormal bronze or gray skin color - abdominal pain - loss of sex drive Not everyone with hemochromatosis will develop these symptoms."
What are the treatments for Adrenal Insufficiency and Addison's Disease ?,"People with adrenal insufficiency who have weakness, nausea, or vomiting need immediate emergency treatment to prevent an adrenal crisis and possible death. An injection with a synthetic glucocorticoid hormone called a corticosteroid can save a persons life. People should make sure to have a corticosteroid injection with them at all times, and make sure their friends and family know how and when to give the injection. Read more under How is adrenal insufficiency treated?"
What to do for Adrenal Insufficiency and Addison's Disease ?,#NAME?
What is (are) Hypothyroidism ?,"Hypothyroidism is a disorder that occurs when the thyroid gland does not make enough thyroid hormone to meet the bodys needs. Thyroid hormone regulates metabolismthe way the body uses energyand affects nearly every organ in the body. Without enough thyroid hormone, many of the bodys functions slow down. About 4.6 percent of the U.S. population age 12 and older has hypothyroidism.1"
What to do for Hypothyroidism ?,#NAME?
What is (are) Diagnosis of Diabetes and Prediabetes ?,"Prediabetes is when blood glucose levels are higher than normal but not high enough for a diagnosis of diabetes. Prediabetes means a person is at increased risk for developing type 2 diabetes, as well as for heart disease and stroke. Many people with prediabetes develop type 2 diabetes within 10 years. However, modest weight loss and moderate physical activity can help people with prediabetes delay or prevent type 2 diabetes."
Who is at risk for Mntriers Disease? ?,Mntriers disease is rare. The disease is more common in men than in women. The average age at diagnosis is 55.2
What to do for Mntriers Disease ?,"Researchers have not found that eating, diet, and nutrition play a role in causing or preventing Mntriers disease. In some cases, a health care provider may prescribe a high-protein diet to offset the loss of protein due to Mntriers disease. Some people with severe malnutrition may require IV nutrition, which is called total parenteral nutrition (TPN). TPN is a method of providing an IV liquid food mixture through a special tube in the chest."
What to do for Inguinal Hernia ?,#NAME?
What are the symptoms of I Can Lower My Risk for Type 2 Diabetes: A Guide for American Indians ?,"Many people have no visible signs or symptoms of diabetes. Symptoms can also be so mild that you might not notice them. More than 5 million people in the United States have type 2 diabetes and do not know it. - increased thirst - increased hunger - fatigue - increased urination, especially at night - unexplained weight loss - blurred vision - sores that do not heal"
How to diagnose Treatment Methods for Kidney Failure: Hemodialysis ?,"About once a month, your dialysis care team will test your blood by using one of two formulasURR or Kt/Vto see whether your treatments are removing enough wastes. Both tests look at one specific waste product, called blood urea nitrogen (BUN), as an indicator for the overall level of waste products in your system. For more information about these measurements, see the NIDDK fact sheet Hemodialysis Dose and Adequacy."
What to do for What I need to know about Living with Kidney Failure ?,#NAME?
Who is at risk for Diverticular Disease? ?,"Diverticulosis becomes more common as people age, particularly in people older than age 50.3 Some people with diverticulosis develop diverticulitis, and the number of cases is increasing. Although diverticular disease is generally thought to be a condition found in older adults, it is becoming more common in people younger than age 50, most of whom are male.1"
